   integer_node_x          Max_Ne          Max_Ni          Max_Te     half_node_x      Max_E(id2)       Max_J0/mA
   0.2124000E+00  0.3240857E+11  0.3329217E+11  0.2863104E+01  0.2130000E+00  0.1651400E+04  0.2302501E+02
   0.2136000E+00  0.3166413E+11  0.3263281E+11  0.2861609E+01  0.2142000E+00  0.1653285E+04  0.2302501E+02
   0.2148000E+00  0.3087217E+11  0.3198151E+11  0.2859589E+01  0.2154000E+00  0.1655475E+04  0.2302501E+02
   0.2160000E+00  0.3001787E+11  0.3133883E+11  0.2856884E+01  0.2166000E+00  0.1658123E+04  0.2302501E+02
   0.2172000E+00  0.2908232E+11  0.3070529E+11  0.2853272E+01  0.2178000E+00  0.1661427E+04  0.2302501E+02
   0.2184000E+00  0.2804193E+11  0.3008144E+11  0.2848472E+01  0.2190000E+00  0.1665635E+04  0.2302501E+02
   0.2196000E+00  0.2686836E+11  0.2946780E+11  0.2842124E+01  0.2202000E+00  0.1671058E+04  0.2302501E+02
   0.2208000E+00  0.2552946E+11  0.2886484E+11  0.2833795E+01  0.2214000E+00  0.1678077E+04  0.2302501E+02
   0.2220000E+00  0.2399181E+11  0.2827300E+11  0.2822973E+01  0.2226000E+00  0.1687148E+04  0.2302501E+02
   0.2232000E+00  0.2222563E+11  0.2769264E+11  0.2809062E+01  0.2238000E+00  0.1698792E+04  0.2302501E+02
   0.2244000E+00  0.2021232E+11  0.2712405E+11  0.2791381E+01  0.2250000E+00  0.1713570E+04  0.2302501E+02
   0.2256000E+00  0.1795430E+11  0.2656748E+11  0.2769144E+01  0.2262000E+00  0.1732039E+04  0.2302501E+02
   0.2268000E+00  0.1548566E+11  0.2602310E+11  0.2741422E+01  0.2274000E+00  0.1754683E+04  0.2302501E+02
   0.2280000E+00  0.1287988E+11  0.2549105E+11  0.2707080E+01  0.2286000E+00  0.1781826E+04  0.2302501E+02
   0.2292000E+00  0.1025030E+11  0.2497147E+11  0.2664698E+01  0.2298000E+00  0.1813546E+04  0.2302501E+02
   0.2304000E+00  0.7738636E+10  0.2446452E+11  0.2612489E+01  0.2310000E+00  0.1849616E+04  0.2302501E+02
   0.2316000E+00  0.5490952E+10  0.2397039E+11  0.2548367E+01  0.2322000E+00  0.1889490E+04  0.2302501E+02
   0.2328000E+00  0.3625956E+10  0.2348925E+11  0.2470424E+01  0.2334000E+00  0.1932366E+04  0.2302501E+02
   0.2340000E+00  0.2206858E+10  0.2302074E+11  0.2378270E+01  0.2346000E+00  0.1977305E+04  0.2302501E+02
   0.2352000E+00  0.1228754E+10  0.2255927E+11  0.2275145E+01  0.2358000E+00  0.2023364E+04  0.2302501E+02
   0.2364000E+00  0.6273927E+09  0.2204928E+11  0.2166092E+01  0.2370000E+00  0.2069622E+04  0.2302501E+02
   0.2376000E+00  0.3047637E+09  0.2103161E+11  0.2027735E+01  0.2382000E+00  0.2114372E+04  0.2302501E+02
   0.2388000E+00  0.1593336E+09  0.1682745E+11  0.1698979E+01  0.2394000E+00  0.2150316E+04  0.2302501E+02
